p.value	ID	category.name
0.0217785843920145	FF:0000426	MCF7 breast cancer cell line 0min after EGF1 treatment
0.0217785843920145	FF:0100093	MCF-7 cell
0.0217785843920145	FF:0100224	liver cell line
0.0217785843920145	FF:0100356	breast cancer cell line
0.0217785843920145	FF:0100816	breast cell line
0.0217785843920145	FF:0101912	breast adenocarcinoma cell line
0.0217785843920145	UO:0000000	unit
0.0217785843920145	UO:0000046	derived unit
0.0217785843920145	UO:0000149	derived time unit
0.0228545618789521	CL:0002144	capillary endothelial cell
0.0228545618789521	CL:0002618	endothelial cell of umbilical vein
0.0228545618789521	FF:0000050	microvascular endothelial cell
0.0228545618789521	FF:0000247	endothelial cell of umbilical vein
0.0229335093218941	CL:1000494	epithelial cell of renal tubule
0.0229335093218941	CL:1000507	kidney tubule cell
0.023174783242849	CL:0002551	fibroblast of dermis
0.023174783242849	FF:0000062	dermal fibroblast
0.0241935483870968	FF:0010041	dura mater - adult
0.0241935483870968	UBERON:0000094	membrane organ
0.0241935483870968	UBERON:0002360	meninx
0.0241935483870968	UBERON:0002363	dura mater
0.0246305418719212	CL:0002582	visceral preadipocyte
0.0246305418719212	FF:0000143	visceral preadipocyte
0.025	FF:0000339	FGF2 treatment
0.025	FF:0000546	Aortic Smooth Muscle cells 0min after treatment with FGF2
0.0253768817962827	CL:0000746	cardiac myocyte
0.0253768817962827	CL:0002521	subcutaneous fat cell
0.0253768817962827	FF:0000011	subcutaneous adipocyte
0.0253768817962827	FF:0000118	cardiac myocyte
0.0253768817962827	FF:0000246	chondrocyte de-differentiated
0.0253768817962827	UBERON:0001134	skeletal muscle tissue
0.0253768817962827	UBERON:0002036	striated muscle tissue
0.0253840790606813	DOID:193	reproductive organ cancer
0.0265125169576813	CL:0000566	angioblastic mesenchymal cell
0.0265125169576813	CL:0002619	adult endothelial progenitor cell
0.0265125169576813	FF:0000248	endothelial progenitor cell
0.0265125169576813	FF:0011111	CD14-positiveCD16- Monocytes
0.026532053207733	DOID:3908	non-small cell lung carcinoma
0.026532053207733	UBERON:0004177	hemopoietic organ
0.0266963292547274	FF:0000334	melanocytic induction
0.0266963292547274	FF:0000380	0 days
0.0266963292547274	FF:0000532	H9 Embryoid body cells 0 days after melanocytic induction
0.0266963292547274	UO:0000033	day
0.0270326688237136	CL:0000062	osteoblast
0.0270326688237136	FF:0100407	osteosarcoma cell line
0.0277777777777778	CL:0000669	pericyte cell
0.0277777777777778	CL:0002575	central nervous system pericyte
0.0277777777777778	FF:0000133	pericyte
0.0284149174381141	UBERON:0002385	muscle tissue
0.0293040293040293	FF:0100889	Burkitt lymphoma cell line
0.0307505869878058	CL:0000349	extraembryonic cell
0.0307505869878058	CL:0002536	amniotic epithelial cell
0.0307505869878058	CL:0002541	chorionic membrane mesenchymal stem cell
0.0307505869878058	CL:0002549	fibroblast of choroid plexus
0.0307505869878058	CL:0002577	placental epithelial cell
0.0307505869878058	FF:0000009	amniotic epithelial cell
0.0307505869878058	FF:0000038	chorionic membrane stem cell
0.0307505869878058	FF:0000060	fibroblast of choroid plexus
0.0307505869878058	FF:0000136	placental epithelial cell
0.0307505869878058	UBERON:0000478	extraembryonic structure
0.0314465408805031	CL:0002580	preadipocyte of the breast
0.0314465408805031	FF:0000139	preadipocyte of the breast
0.0314465408805031	FF:0000251	fibroblast - skin spinal muscular atrophy
0.0314465408805031	FF:0000667	Fibroblast - skin dystrophia myotonica, nuclear fraction
0.0314465408805031	FF:0000670	Fibroblast - skin spinal muscular atrophy, nuclear fraction
0.0314465408805031	FF:0000671	Preadipocyte - breast, nuclear fraction
0.0333333333333333	CL:0002552	fibroblast of gingiva
0.0333333333333333	FF:0000063	fibroblast of gingiva
0.0346163924684262	CL:0000307	tracheal epithelial cell
0.0346163924684262	CL:0000569	cardiac mesenchymal cell
0.0346163924684262	CL:0002621	gingival epithelial cell
0.0346163924684262	CL:0002622	prostate stromal cell
0.0346163924684262	FF:0000088	mammary epithelial cell
0.0346163924684262	FF:0000166	small airway epithelial cell
0.0346163924684262	FF:0000189	tracheal epithelial cell
0.0346163924684262	FF:0000254	gingival epithelial cell
0.0346163924684262	FF:0000269	mesenchymal precursor cell of bone marrow
0.0346163924684262	FF:0000271	cardiac mesenchymal precursor cell
0.0346163924684262	FF:0000274	mesenchymal precursor cell- ovarian cancer-metastasis
0.0346163924684262	FF:0000277	prostate stromal cell
0.034965034965035	CL:0002603	astrocyte of the cerebellum
0.034965034965035	FF:0000195	astrocyte of the cerebellum
0.0357142857142857	FF:0000096	mesenchymal stem cell of adipose
0.0357142857142857	FF:0000329	adipogenic induction
0.0357142857142857	FF:0000690	mesenchymal stem cells adipose derived, 0 minutes after adipogenic induction
0.0368069933287325	UBERON:0000002	uterine cervix
0.037037037037037	CL:0002564	nucleus pulposus cell of intervertebral disc
0.037037037037037	FF:0000123	nucleus pulposus cell of intervertebral disc
0.0384222516504087	DOID:1325	bronchus cancer
0.0384222516504087	DOID:3904	bronchogenic carcinoma
0.0384222516504087	FF:0102061	bronchogenic carcinoma cell
0.0384615384615384	EFO:0000635	organism part
0.0384615384615384	EFO:0000786	anatomy basic component
0.0384615384615384	EFO:0000787	animal component
0.0384615384615384	FF:0000162	skeletal muscle cell
0.0387063916475682	CL:0002588	smooth muscle cell of the umbilical vein
0.0387063916475682	FF:0000177	smooth muscle cell of umbilical vein
0.04	FF:0100794	pancreatic cancer cell line
0.04	UBERON:0001264	pancreas
0.0410919540229885	FF:0100453	fibroblast cell line
0.0410919540229885	FF:0100460	fibrosarcoma cell line
0.0410919540229885	FF:0103764	NCI cell
0.0440702395583324	CL:0000666	fenestrated cell
0.0440702395583324	CL:0002188	glomerular endothelial cell
0.0440702395583324	FF:0000153	renal glomerular endothelial cell
0.0443694010599879	DOID:114	heart disease
0.0443694010599879	DOID:1287	cardiovascular system disease
0.0443694010599879	FF:0010014	colon - adult
0.0443694010599879	FF:0010019	lung - adult
0.0443694010599879	UBERON:0001155	colon
0.0443694010599879	UBERON:0004151	cardiac chamber
0.0476190476190476	FF:0100385	bone cancer cell line
0.0476190476190476	UBERON:0001474	bone
0.0476190476190476	UBERON:0004765	skeletal element
0.047993705743509	CL:0000214	synovial cell
0.047993705743509	FF:0000187	synovial cell
0.0482758620689655	FF:0000245	chondrocyte re-differentiated
0.0483870967741935	UBERON:0002106	spleen
0.0492957746478873	CL:0000149	visual pigment cell
0.0492957746478873	CL:0002566	dark melanocyte
0.0492957746478873	FF:0000089	dark melanocyte
0.0518518518518518	CL:0000785	mature B cell
0.0518518518518518	CL:0000786	plasma cell
0.0518518518518518	CL:0000819	B-1 B cell
0.0518518518518518	CL:0000946	antibody secreting cell
0.0518518518518518	CL:0002379	meningothelial cell
0.0518518518518518	DOID:0060060	non-Hodgkin lymphoma
0.0518518518518518	DOID:0060061	cutaneous T cell lymphoma
0.0518518518518518	DOID:0060073	lymphatic system cancer
0.0518518518518518	DOID:3565	meningioma
0.0518518518518518	DOID:3620	central nervous system cancer
0.0518518518518518	DOID:5662	pleomorphic carcinoma
0.0518518518518518	DOID:8675	lymphosarcoma
0.0518518518518518	DOID:8691	mycosis fungoides
0.0518518518518518	FF:0101518	B-lymphoma cell line
0.0518518518518518	FF:0102521	diffuse large B-cell lymphoma cell
0.0518518518518518	FF:0102992	ARH-77 cell
0.0518518518518518	FF:0103191	SNU-387 cell
0.0518518518518518	FF:0103212	T-lymphoma cell line
0.0518518518518518	FF:0104398	meningioma cell line
0.0531852717708942	FF:0000629	IFN and N-hexane treatment
0.0531852717708942	FF:0011443	CD14-positive monocytes - treated with IFN + N-hexane
0.0549597855227882	CL:0000814	mature NK T cell
0.0549597855227882	CL:0000911	effector T cell
0.0549597855227882	CL:0002127	innate effector T cell
0.0549597855227882	DOID:0060085	organ system benign neoplasm
0.0549597855227882	DOID:0060121	integumentary system benign neoplasm
0.0549597855227882	DOID:2355	anemia
0.0549597855227882	DOID:2438	dermis tumor
0.0549597855227882	DOID:3165	skin benign  neoplasm
0.0549597855227882	DOID:4418	cutaneous fibrous histiocytoma
0.0549597855227882	DOID:6193	epithelioid sarcoma
0.0549597855227882	DOID:9119	acute myeloid leukemia
0.0549597855227882	FF:0010027	thymus - adult human
0.0549597855227882	FF:0010043	thymus - fetal
0.0549597855227882	FF:0100007	HEK-293 cell
0.0549597855227882	FF:0100732	KU-812 cell
0.0549597855227882	FF:0101061	PC-3 cell
0.0549597855227882	FF:0101092	KATO-III cell
0.0549597855227882	FF:0101282	HT-1080 cell
0.0549597855227882	FF:0101524	WIL2-NS cell
0.0549597855227882	FF:0101952	HPB-ALL cell
0.0549597855227882	FF:0102581	MEG-01 cell
0.0549597855227882	FF:0102733	embryonic kidney cell line
0.0549597855227882	FF:0102835	NCI-H358 cell
0.0549597855227882	FF:0103505	T-cell chronic lymphocytic leukemia cell
0.0549597855227882	FF:0103765	dermatofibroma cell line
0.0549597855227882	FF:0103766	giant cell tumor cell line
0.0549597855227882	FF:0104049	adult T-cell lymphoma cell line
0.0549597855227882	FF:0104973	Hodgkin lymphoma cell line
0.0555555555555555	FF:0101014	Mo-T cell
0.0555555555555555	FF:0103681	hairy cell leukemia cell line
0.0563380281690141	CL:0002149	epithelial cell of uterus
0.0563380281690141	CL:0002255	stromal cell of endometrium
0.0563380281690141	DOID:3001	female reproductive endometrioid cancer
0.0563380281690141	FF:0100018	A-549 cell
0.0563380281690141	FF:0100658	uterine adenocarcinoma cell
0.0563380281690141	FF:0101555	endometrial cancer cell line
0.0563380281690141	FF:0103008	NCI-H226 cell
0.0563380281690141	FF:0103803	serous adenocarcinoma cell line
0.0563380281690141	FF:0104078	non-small cell lung adenocarcinoma cell line
0.0569779487938434	CL:0000159	seromucus secreting cell
0.0569779487938434	CL:0000244	transitional epithelial cell
0.0569779487938434	CL:0000731	urothelial cell
0.0569779487938434	CL:0002262	endothelial cell of sinusoid
0.0569779487938434	CL:1000398	endothelial cell of hepatic sinusoid
0.0569779487938434	DOID:3498	pancreatic ductal adenocarcinoma
0.0569779487938434	DOID:4074	pancreas adenocarcinoma
0.0569779487938434	DOID:4905	pancreatic carcinoma
0.0569779487938434	DOID:4929	tubular adenocarcinoma
0.0569779487938434	FF:0000076	hepatic sinusoidal endothelial cell
0.0569779487938434	FF:0000191	urothelial cell
0.0569779487938434	FF:0103910	bile duct cancer cell line
0.0569779487938434	FF:0104883	cystadenocarcinoma cell line
0.0569779487938434	UBERON:0002394	bile duct
0.0578833155843898	DOID:3119	gastrointestinal system cancer
0.0579734416996448	CL:0000333	neural crest cell
0.0579734416996448	FF:0100932	neuroblastoma cell line
0.0579734416996448	UBERON:0000013	sympathetic nervous system
0.0579734416996448	UBERON:0002410	autonomic nervous system
0.0598911070780399	UBERON:0000310	breast
0.0621468926553672	CL:0002327	mammary epithelial cell
0.0621468926553672	DOID:0050619	paranasal sinus cancer
0.0621468926553672	DOID:1357	maxillary sinus cancer
0.0621468926553672	DOID:3193	peripheral nerve sheath neoplasm
0.0621468926553672	DOID:962	neurofibroma
0.0621468926553672	FF:0010045	kidney - fetal
0.0621468926553672	FF:0101560	testicular cancer cell line
0.0621468926553672	FF:0101908	MDA-MB-453 cell
0.0621468926553672	FF:0102047	Colo-320 cell
0.0621468926553672	FF:0102912	neuroepithelioma cell line
0.0621468926553672	FF:0102914	SK-N-MC cell
0.0621468926553672	FF:0103568	mammary gland cell line
0.0621468926553672	FF:0104086	mammary gland tumor cell line
0.0621468926553672	FF:0104785	Ewing's sarcoma family tumor cell line
0.0621468926553672	UBERON:0000464	anatomical space
0.0621468926553672	UBERON:0000466	immaterial anatomical entity
0.0621468926553672	UBERON:0001235	adrenal cortex
0.0621468926553672	UBERON:0001764	maxillary sinus
0.0621468926553672	UBERON:0001825	paranasal sinus
0.0621468926553672	UBERON:0001851	cortex
0.0621468926553672	UBERON:0001911	mammary gland
0.0621468926553672	UBERON:0002553	anatomical cavity
0.0621468926553672	UBERON:0003714	neural tissue
0.0645161290322581	CL:0002548	cardiac fibroblast
0.0645161290322581	FF:0000059	cardiac fibroblast
0.0651653449049828	CL:0000220	cell by lineage
0.0651653449049828	DOID:169	neuroendocrine tumor
0.0651653449049828	FF:0100306	teratocarcinoma cell line
0.0666666666666666	CL:0002594	smooth muscle cell of the umbilical artery
0.0691994572591588	CL:0002547	fibroblast of the aortic adventitia
0.0691994572591588	CL:1000306	fibroblast of tunica adventitia of artery
0.0691994572591588	FF:0000058	fibroblast of the aortic adventitia
0.0691994572591588	FF:0000341	Vegfc treatment
0.0691994572591588	FF:0000410	Lymphatic Endothelial cells 0min after VEGFC treatment
0.069980694980695	CL:0002615	adipocyte of omentum tissue
0.069980694980695	FF:0000039	adipocyte of omentum tissue
0.069980694980695	FF:0000270	mesenchymal precursor cell of adipose
0.0714285714285714	DOID:5409	lung small cell carcinoma
0.0714285714285714	FF:0100189	small cell lung cancer cell
0.0714285714285714	FF:0102206	small cell lung cancer cell line
0.0714285714285714	CL:0002539	aortic smooth muscle cell
0.0731707317073171	FF:0010030	retina - adult
0.0731707317073171	UBERON:0000966	retina
0.0731707317073171	UBERON:0005388	photoreceptor array
0.0743801652892561	CL:0000091	Kupffer cell
0.0743801652892561	CL:0000864	tissue-resident macrophage
0.0743801652892561	DOID:3350	mesenchymal cell neoplasm
0.0743801652892561	DOID:3369	peripheral primitive neuroectodermal tumor
0.0743801652892561	DOID:3571	liver cancer
0.0743801652892561	FF:0000672	Smooth Muscle Cells - Aortic, nuclear fraction
0.0743801652892561	FF:0103046	neurofibroma cell
0.0743801652892561	FF:0103513	hepatic stellate cell line
0.0743801652892561	FF:0103519	LI90 cell
0.0743801652892561	FF:0104201	Ewing's sarcoma cell line
0.0746268656716418	CL:0000035	single fate stem cell
0.0746268656716418	CL:0000594	skeletal muscle satellite cell
0.0746268656716418	FF:0000165	skeletal muscle satellite cell
0.0746268656716418	FF:0010011	bladder - adult
0.0746268656716418	FF:0010022	prostate - adult
0.0746268656716418	FF:0010044	spleen - fetal
0.0746268656716418	FF:0010054	eye - fetal
0.0746268656716418	FF:0010068	lung - fetal
0.0746268656716418	FF:0011166	optic nerve
0.0746268656716418	UBERON:0000063	organ segment
0.0746268656716418	UBERON:0000941	cranial nerve II
0.0746268656716418	UBERON:0001021	nerve
0.0746268656716418	UBERON:0001255	urinary bladder
0.0746268656716418	UBERON:0001785	cranial nerve
0.0746268656716418	UBERON:0002367	prostate gland
0.0746268656716418	UBERON:0002464	nerve trunk
0.0746268656716418	UBERON:0004732	segmental subdivision of nervous system
0.0746268656716418	UBERON:0004904	optic nerve
0.0746268656716418	UBERON:0010147	male accessory sex gland
0.0769230769230769	CL:0002178	epithelial cell of stomach
0.0769230769230769	DOID:3493	signet ring cell adenocarcinoma
0.0769230769230769	FF:0100787	gastric cancer cell line
0.0792891414064111	CL:0000737	striated muscle cell
0.0792891414064111	FF:0000094	mesenchymal stem cell of umbilical cord-Sciencell
0.0810810810810811	CL:0002592	smooth muscle cell of the coronary artery
0.0810810810810811	CL:0002596	smooth muscle cell of the carotid artery
0.0810810810810811	FF:0000127	osteoblast-Sciencell
0.0810810810810811	FF:0000128	osteoblast-Cell applications
0.0810810810810811	FF:0000171	smooth muscle cell of the carotid artery
0.0810810810810811	FF:0000172	smooth muscle cell of coronary artery
0.0831074977416441	CL:0002545	thoracic aorta endothelial cell
0.0831074977416441	FF:0000051	thoracic endothelial cell
0.0832395950506186	FF:0010031	temporal lobe - adult
0.0832395950506186	FF:0010032	postcentral gyrus - adult
0.0832395950506186	FF:0010033	pons - adult
0.0832395950506186	FF:0010035	paracentral gyrus - adult
0.0832395950506186	FF:0010036	occipital pole - adult
0.0832395950506186	FF:0010037	nucleus accumbens - adult
0.0832395950506186	FF:0010039	insula - adult
0.0832395950506186	FF:0010040	frontal lobe - adult
0.0832395950506186	FF:0010042	corpus callosum - adult
0.0832395950506186	FF:0010072	parietal lobe - fetal
0.0832395950506186	FF:0010073	occipital lobe - fetal
0.0832395950506186	FF:0010076	occipital lobe - adult
0.0832395950506186	FF:0010087	putamen - adult donor
0.0832395950506186	FF:0010156	GTM (medial temporal gyrus donor
0.0832395950506186	FF:0010158	substantia nigra - adult donor
0.0832395950506186	FF:0010188	cerebral meninges - adult
0.0832395950506186	FF:0010193	diencephalon - adult
0.0832395950506186	FF:0010195	olfactory region - adult
0.0832395950506186	FF:0100197	carcinosarcoma cell
0.0832395950506186	FF:0102919	retinoblastoma cell line
0.0832395950506186	FF:0102920	Y-79 cell
0.0832395950506186	FF:0102989	CHP-134 cell
0.0832395950506186	FF:0103026	NCI-H82 cell
0.0832395950506186	UBERON:0000122	neuron projection bundle
0.0832395950506186	UBERON:0000988	pons
0.0832395950506186	UBERON:0001018	axon tract
0.0832395950506186	UBERON:0001020	commissure
0.0832395950506186	UBERON:0001870	frontal cortex
0.0832395950506186	UBERON:0001871	temporal lobe
0.0832395950506186	UBERON:0001874	putamen
0.0832395950506186	UBERON:0001882	nucleus accumbens
0.0832395950506186	UBERON:0001894	diencephalon
0.0832395950506186	UBERON:0002022	insula
0.0832395950506186	UBERON:0002038	substantia nigra
0.0832395950506186	UBERON:0002336	corpus callosum
0.0832395950506186	UBERON:0002473	intercerebral commissure
0.0832395950506186	UBERON:0002581	postcentral gyrus
0.0832395950506186	UBERON:0002702	middle frontal gyrus
0.0832395950506186	UBERON:0002902	occipital pole
0.0832395950506186	UBERON:0003112	olfactory region
0.0832395950506186	UBERON:0005162	multi-cell-component structure
0.0832395950506186	UBERON:0005340	dorsal telencephalic commissure
0.0832395950506186	UBERON:0005970	brain commissure
0.0832395950506186	UBERON:0009661	midbrain nucleus
0.0832395950506186	UBERON:0009899	pole of cerebral hemisphere
0.0833333333333333	CL:0000708	leptomeningeal cell
0.0833333333333333	FF:0000091	leptomeningeal cell
0.0833333333333333	FF:0010021	placenta - adult
0.0833333333333333	UBERON:0001987	placenta
0.0866527671092578	CL:0002252	epithelial cell of esophagus
0.0866527671092578	CL:0002363	keratocyte
0.0866527671092578	CL:0002600	smooth muscle cell of trachea
0.0866527671092578	CL:0002617	adipocyte of breast
0.0866527671092578	CL:1000487	smooth muscle cell of prostate
0.0866527671092578	FF:0000056	epithelial cell of esophagus
0.0866527671092578	FF:0000084	keratocyte
0.0866527671092578	FF:0000117	mesenchymal stem cell of umbilical cord blood
0.0866527671092578	FF:0000156	adipocyte of breast
0.0866527671092578	FF:0000183	smooth muscle cell of prostate
0.0866527671092578	FF:0000184	smooth muscle cell of trachea
0.0866527671092578	FF:0104976	nasal epithelial cell
0.0866527671092578	UBERON:0001005	respiratory airway
0.0866527671092578	UBERON:0003126	trachea
0.0866527671092578	UBERON:0003127	open tracheal system trachea
0.0882352941176471	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell
0.0882352941176471	CL:0002589	smooth muscle cell of the brachiocephalic vasculature
0.0882352941176471	FF:0000169	smooth muscle cell of the brachiocephalic vasculature
0.0882352941176471	FF:0000273	mesenchymal precursor cell- ovarian cancer-left ovary
0.0882352941176471	FF:0011122	CD4-positiveCD25-CD45RA- naive conventional T cells
0.0895473787040052	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell
0.0895473787040052	CL:0000815	regulatory T cell
0.0895473787040052	CL:0002677	naive regulatory T cell
0.0895473787040052	FF:0000357	0 hr
0.0895473787040052	FF:0000647	udorn influenza infection
0.0895473787040052	FF:0011215	Monocyte-derived macrophages 0h after udorn influenza infection
0.0895473787040052	UO:0000032	hour
0.0897435897435897	DOID:3112	papillary adenocarcinoma
0.0897435897435897	FF:0101610	thyroid cancer cell line
0.0897435897435897	FF:0103209	anaplastic thyroid cancer cell line
0.0897435897435897	FF:0104965	8505C cell
0.09	FF:0010048	smooth muscle - adult
0.09	FF:0101583	T-98G cell
0.09	FF:0104204	nasal squamous cell carcinoma cell line
0.09	FF:0104205	RPMI-2650 cell
0.09	UBERON:0001135	smooth muscle tissue
0.0909090909090909	CL:1000415	epithelial cell of gall bladder
0.0909090909090909	FF:0000099	mesothelial cell
0.0923076923076923	CL:0000346	hair follicle dermal papilla cell
0.0923076923076923	CL:0002559	hair follicle cell
0.0923076923076923	CL:0002591	smooth muscle cell of the pulmonary artery
0.0923076923076923	CL:1000428	stem cell of epidermis
0.0923076923076923	DOID:154	mixed cell type cancer
0.0923076923076923	DOID:4236	carcinosarcoma
0.0923076923076923	FF:0000071	hair follicle dermal papilla cell
0.0923076923076923	FF:0000072	hair follicle cell
0.0923076923076923	FF:0000174	smooth muscle cell of pulmonary artery
0.0923076923076923	FF:0000175	smooth muscle cell of subclavian artery
0.0933333333333334	CL:0000817	precursor B cell
0.0933333333333334	FF:0100603	pre-B acute lymphoblastic leukemia cell line
0.0933333333333334	FF:0100661	JURKAT cell
0.0933333333333334	FF:0102504	T-lymphoblastic leukemia cell line
0.0933333333333334	FF:0103288	NALM-6 cell
0.0933333333333334	FF:0103744	liposarcoma cell line
0.0952380952380953	CL:0002593	smooth muscle cell of the internal thoracic artery
0.0952380952380953	FF:0000173	smooth muscle cell of the internal thoracic artery
0.0967741935483871	FF:0000592	H9 Embryonic Stem cells
0.097560975609756	EFO:0002090	technical replicate
0.1	DOID:0070004	myeloma
0.1	DOID:4960	bone marrow cancer
0.1	FF:0100583	bone marrow cancer cell
0.1	FF:0100898	myeloma cell
0.1	FF:0100899	myeloma cell line
0.1	UBERON:0002371	bone marrow
0.1	CL:0002581	perirenal preadipocyte
0.1	FF:0000141	perirenal preadipocyte
0.100422832980973	CL:1000612	kidney corpuscule cell
0.100422832980973	CL:1000746	glomerular cell
0.101381978993919	CL:0002590	smooth muscle cell of the brain vasculature
0.101381978993919	FF:0000170	smooth muscle cell of the brain vasculature
0.101694915254237	FF:0000276	amniotic membrane cell- fetal
0.102040816326531	FF:0100798	BeWo cell
0.104477611940298	FF:0100729	carcinoid cell
0.104477611940298	FF:0102869	transitional cell carcinoma cell line
0.104477611940298	UBERON:0000486	multilaminar epithelium
0.104477611940298	UBERON:0005910	transitional epithelium
0.106661759293338	CL:0000515	skeletal muscle myoblast
0.106661759293338	CL:0002504	enteric smooth muscle cell
0.106661759293338	CL:0002579	omentum preadipocyte
0.106661759293338	CL:1000279	smooth muscle cell of large intestine
0.106661759293338	CL:1000280	smooth muscle cell of colon
0.106661759293338	DOID:0060072	benign neoplasm
0.106661759293338	DOID:0060084	cell type benign neoplasm
0.106661759293338	DOID:127	leiomyoma
0.106661759293338	FF:0000140	omentum preadipocyte
0.106661759293338	FF:0000164	skeletal muscle myoblast
0.106661759293338	FF:0000180	smooth muscle cell of intestine
0.106661759293338	FF:0000181	smooth muscle of colon
0.106661759293338	FF:0000340	IL1-beta treatment
0.106661759293338	FF:0000556	Aortic Smooth Muscle cells 0min after treatment with IL1b
0.106661759293338	FF:0102694	leiomyoma cell
0.10696871007791	CL:0000054	bone matrix secreting cell
0.10696871007791	CL:0000092	osteoclast
0.10696871007791	CL:0000137	osteocyte
0.10696871007791	CL:0002097	cortical cell of adrenal gland
0.10696871007791	DOID:200	giant cell tumor
0.10696871007791	DOID:3910	lung adenocarcinoma
0.10696871007791	DOID:4305	bone giant cell tumor
0.10696871007791	DOID:74	hematopoietic system disease
0.10696871007791	FF:0100372	bone cancer cell
0.10696871007791	FF:0100969	osteoclastoma cell
0.10696871007791	FF:0101019	prostate gland cell line
0.10696871007791	FF:0101033	prostate cancer cell line
0.10696871007791	FF:0102057	lung adenocarcinoma cell
0.10696871007791	FF:0102058	non-small cell lung cancer cell
0.10696871007791	FF:0102060	bronchioalveolar carcinoma cell
0.10696871007791	FF:0102219	adrenocortical carcinoma cell
0.10696871007791	FF:0102267	rhabdomyosarcoma cell line
0.10696871007791	FF:0104802	bronchioloalveolar carcinoma cell
0.10696871007791	UBERON:0000115	lung epithelium
0.10696871007791	UBERON:0004802	respiratory tract epithelium
0.10696871007791	UBERON:0004807	respiratory system epithelium
0.10696871007791	UBERON:0004821	pulmonary alveolus epithelium
0.10696871007791	UBERON:0004903	bronchoalveolar duct junction
0.107142857142857	CL:0000313	serous secreting cell
0.107142857142857	CL:0002231	epithelial cell of prostate
0.107142857142857	DOID:2152	ovary epithelial cancer
0.107142857142857	FF:0000080	intestinal epithelial cell
0.107142857142857	FF:0000145	prostate epithelial cell
0.107142857142857	FF:0101225	MKN-45 cell
0.107142857142857	FF:0102380	gastric adenocarcinoma cell line
0.107142857142857	FF:0104511	serous cystadenocarcinoma cell
0.107142857142857	UBERON:0004909	epithelium of gonad
0.107142857142857	UBERON:0004911	epithelium of female gonad
0.110261569416499	UBERON:0000995	uterus
0.110261569416499	UBERON:0003975	internal female genitalia
0.110261569416499	UBERON:0004175	internal reproductive organ
0.111111111111111	FF:0104137	KCL-22 cell
0.112269446672013	FF:0000026	CD34-positive hematopoietic stem cell
0.120762711864407	CL:0000123	neuron associated cell (sensu Vertebrata)
0.120762711864407	CL:0000242	Merkel cell
0.120762711864407	CL:0002253	epithelial cell of large intestine
0.120762711864407	DOID:4362	cervical cancer
0.120762711864407	FF:0100797	colonic cancer cell line
0.120762711864407	FF:0101616	colorectal cancer cell line
0.120762711864407	FF:0101913	colonic adenocarcinoma cell line
0.120762711864407	FF:0101914	colorectal adenocarcinoma cell line
0.120762711864407	FF:0101967	cervical cancer cell line
0.122448979591837	DOID:0060122	integumentary system cancer
0.122448979591837	DOID:2513	basal cell carcinoma
0.122448979591837	DOID:3451	skin carcinoma
0.122448979591837	DOID:4159	skin cancer
0.122448979591837	DOID:4235	spindle cell sarcoma
0.122448979591837	FF:0010080	breast - adult
0.122448979591837	FF:0103296	bone marrow stromal cell line
0.122448979591837	UBERON:0000014	zone of skin
0.122448979591837	UBERON:0002950	regional part of midbrain
0.122448979591837	UBERON:0006122	retrorubral area
0.122448979591837	UBERON:0007195	stroma of bone marrow
0.125	CL:0000056	myoblast
0.125	CL:0000680	muscle precursor cell
0.125	CL:0002568	mesenchymal stem cell of Wharton's jelly
0.125	FF:0000095	mesenchymal stem cell of Wharton's jelly
0.125	FF:0101664	hepatoblastoma cell line
0.125	FF:0101670	HuH-6 cell
0.125	FF:0102384	MKN-1 cell
0.133333333333333	DOID:1909	melanoma
0.133333333333333	FF:0100849	melanoma cell line
0.133333333333333	UBERON:0000119	cell layer
0.133333333333333	UBERON:0000483	epithelium
0.133333333333333	UBERON:0001003	epidermis
0.133333333333333	UBERON:0003102	surface structure
0.133333333333333	UBERON:0007376	outer epithelial layer
0.142857142857143	CL:0000322	pneumocyte
0.142857142857143	DOID:4556	lung large cell carcinoma
0.142857142857143	FF:0000012	alveolar epithelial cell
0.142857142857143	FF:0010100	uterus - adult
0.142857142857143	FF:0011173	skeletal muscle - soleus muscle
0.142857142857143	FF:0102205	large cell lung cancer cell line
0.142857142857143	FF:0102207	NCI-H460 cell
0.142857142857143	UBERON:0001383	muscle of leg
0.142857142857143	UBERON:0001389	soleus
0.142857142857143	UBERON:0001630	muscle organ
0.142857142857143	UBERON:0003661	limb muscle
0.142857142857143	UBERON:0003663	hindlimb muscle
0.142857142857143	UBERON:0004256	hindlimb zeugopod muscle
0.142857142857143	UBERON:0005090	muscle structure
0.142857142857143	UBERON:0006834	uterus or analog
0.142857142857143	CL:0000239	brush border epithelial cell
0.142857142857143	CL:0002306	epithelial cell of proximal tubule
0.142857142857143	CL:1000615	kidney cortex tubule cell
0.142857142857143	FF:0000155	renal proximal tubular epithelial cell
0.144294805387006	FF:0100811	ovary cancer cell line
0.144294805387006	FF:0100977	ovary cell line
0.144736842105263	CL:0002561	outer root sheath cell
0.144736842105263	DOID:8552	chronic myeloid leukemia
0.144736842105263	FF:0000075	outer root sheath cell
0.144736842105263	FF:0000405	cytoplasmic fraction
0.144736842105263	FF:0000664	Smooth Muscle Cells - Aortic, (cytoplasmic fraction)
